|500|33.8|7.86|
|505|31.9|7.89|
|510|30.1|7.92|
|515|28.4|7.96|
|520|26.8|8|
|525|25.3|8.03|
|530|24|8.07|
|535|22.7|8.11|
|540|21.4|8.14|
|545|20.3|8.18|
|550|19.2|8.22|
|555|18.2|8.26|
|560|17.2|8.3|
|565|16.3|8.34|
|570|15.5|8.37|
|575|14.7|8.41|
|580|13.9|8.45|
|585|13.2|8.49|
|590|12.6|8.53|
|595|11.9|8.57|
|600|11.3|8.62|
|605|10.8|8.66|
|610|10.2|8.7|
|615|9.74|8.74|
|620|9.26|8.78|
|625|8.81|8.82|
|630|8.39|8.86|
|635|7.99|8.9|
|640|7.61|8.94|
|645|7.25|8.98|
|650|6.9|9.02|
|655|6.58|9.06|
|660|6.27|9.1|
|665|5.98|9.15|
|670|5.71|9.19|
|675|5.44|9.23|
|680|5.2|9.27|
|685|4.96|9.31|
|690|4.74|9.35|
|695|4.52|9.39|
|700|4.32|9.43|
|705|4.13|9.46|
|710|3.95|9.5|
|715|3.77|9.54|
|720|3.61|9.58|
|725|3.45|9.61|
|730|3.3|9.65|
|735|3.16|9.69|
|740|3.02|9.72|
|745|2.89|9.76|
|750|2.77|9.8|
|755|2.65|9.83|
|760|2.54|9.87|
|765|2.43|9.91|
|770|2.33|9.94|
|775|2.23|9.98|
|780|2.14|10.01|
|785|2.05|10.05|
|790|1.97|10.09|
|795|1.88|10.12|
|800|1.81|10.16|
|805|1.73|10.2|
|810|1.66|10.23|
|815|1.6|10.27|
|820|1.53|10.31|
|825|1.47|10.34|
|830|1.41|10.38|
|835|1.36|10.42|
|840|1.3|10.45|
|845|1.25|10.49|
|850|1.2|10.53|
|855|1.15|10.57|
|860|1.11|10.6|
|865|1.07|10.64|
|870|1.03|10.68|
|875|0.986|10.71|
|880|0.948|10.75|
|885|0.912|10.79|
|890|0.877|10.82|
|895|0.844|10.86|
|900|0.812|10.89|
|905|0.781|10.93|
|910|0.752|10.97|
|915|0.723|11|
|920|0.696|11.04|
|925|0.67|11.07|
|930|0.646|11.11|
|935|0.622|11.14|
|940|0.599|11.18|
|945|0.577|11.21|
|950|0.556|11.25|
|955|0.535|11.28|
|960|0.516|11.32|
|965|0.497|11.35|
|970|0.479|11.39|
|975|0.462|11.42|
|980|0.445|11.46|
|985|0.43|11.49|
|990|0.414|11.53|
|995|0.399|11.56|
|1000|0.385|11.6|
|1005|0.372|11.63|
|1010|0.359|11.67|
|1015|0.346|11.7|
|1020|0.334|11.74|
|1025|0.322|11.78|
|1030|0.311|11.81|
|1035|0.3|11.85|
|1040|0.29|11.88|
|1045|0.28|11.92|
|1050|0.27|11.95|
|1055|0.261|11.99|
|1060|0.252|12.02|
|1065|0.243|12.06|
|1070|0.235|12.09|
|1075|0.227|12.13|
|1080|0.219|12.17|
|1085|0.212|12.2|
|1090|0.205|12.24|
|1095|0.198|12.27|
|1100|0.191|12.31|
|1105|0.185|12.34|
|1110|0.179|12.38|
|1115|0.173|12.42|
|1120|0.167|12.45|
|1125|0.162|12.49|
|1130|0.156|12.53|
|1135|0.151|12.56|
|1140|0.146|12.6|
|1145|0.141|12.64|
|1150|0.137|12.67|
|1155|0.132|12.71|
|1160|0.128|12.74|
|1165|0.124|12.78|
|1170|0.12|12.82|
|1175|0.116|12.85|
|1180|0.112|12.89|
|1185|0.109|12.92|
|1190|0.105|12.96|
|1195|0.102|13|
|1200|0.0985|13.03|
|1205|0.0953|13.07|
|1210|0.0923|13.1|
|1215|0.0894|13.14|
|1220|0.0866|13.17|
|1225|0.0838|13.21|
|1230|0.0812|13.24|
|1235|0.0786|13.27|
|1240|0.0762|13.31|
|1245|0.0738|13.34|
|1250|0.0715|13.38|
|1255|0.0692|13.41|
|1260|0.0671|13.45|
|1265|0.065|13.48|
|1270|0.063|13.51|
|1275|0.061|13.55|
|1280|0.0591|13.58|
|1285|0.0573|13.62|
|1290|0.0556|13.65|
|1295|0.0539|13.69|
|1300|0.0522|13.72|
|1305|0.0506|13.76|
|1310|0.0491|13.79|
|1315|0.0476|13.83|
|1320|0.0461|13.86|
|1325|0.0447|13.9|
|1330|0.0434|13.94|
|1335|0.0421|13.97|
|1340|0.0408|14.01|
|1345|0.0396|14.04|
|1350|0.0384|14.08|
|1355|0.0372|14.11|
|1360|0.0361|14.15|
|1365|0.035|14.19|
|1370|0.034|14.22|
|1375|0.033|14.26|
|1380|0.032|14.3|
|1385|0.031|14.33|
|1390|0.0301|14.37|
|1395|0.0292|14.4|
|1400|0.0284|14.44|
|1405|0.0275|14.48|
|1410|0.0267|14.51|
|1415|0.0259|14.55|
|1420|0.0252|14.59|
|1425|0.0244|14.63|
|1430|0.0237|14.66|
|1435|0.023|14.7|
|1440|0.0224|14.74|
|1445|0.0217|14.77|
|1450|0.0211|14.81|
|1455|0.0205|14.85|
|1460|0.0199|14.88|
|1465|0.0193|14.92|
|1470|0.0187|14.96|
|1475|0.0182|15|
|1480|0.0177|15.03|
|1485|0.0172|15.07|
|1490|0.0167|15.11|
|1495|0.0162|15.15|
|1500|0.0157|15.18|
|1505|0.0153|15.22|
|1510|0.0148|15.26|
|1515|0.0144|15.3|
|1520|0.014|15.33|
|1525|0.0136|15.37|
|1530|0.0132|15.41|
|1535|0.0128|15.45|
|1540|0.0125|15.48|
|1545|0.0121|15.52|
|1550|0.0118|15.56|
|1555|0.0115|15.6|
|1560|0.0111|15.64|
|1565|0.0108|15.67|
|1570|0.0105|15.71|
|1575|0.0102|15.75|
|1580|0.00993|15.79|
|1585|0.00966|15.83|
